,query,engine,batch,instance,query_class,status,timeout,nb_results,nb_distinct_sources,relevant_sources_selectivity,tpwss,source_selection_time,planning_time,ask,exec_time,http_req,data_transfer,sts,exec_time_only
21013,q11,anapsid,0,0,SD,success,,9.0,1.0,0.05,2.0,0.2384766101837158,0.1430268287658691,60.0,0.1724991798400879,63.0,0.010440999999999999,success,-0.06597743034362791
21014,q11,anapsid,0,0,SD,success,,9.0,1.0,0.05,2.0,0.2398775577545166,0.1442725658416748,60.0,0.1828370094299316,63.0,0.010440999999999999,success,-0.057040548324584994
21015,q11,fedup_h0,0,0,SD,success,,18.0,1.0,0.05,3.0,0.1,,40.0,5.0,42.0,0.030553999999999998,success,4.9
21016,q11,fedup_h0,0,0,SD,success,,18.0,1.0,0.05,3.0,0.1,,40.0,5.0,42.0,0.030553999999999998,success,4.9
21017,q11,fedup_h0,0,0,SD,success,,18.0,1.0,0.05,3.0,0.1,,40.0,5.0,42.0,0.030553999999999998,success,4.9
21018,q11,rsa,0,0,SD,success,,9.0,1.0,0.05,2.0,,,0.0,36.64088249206543,1.0,0.0029259999999999998,success,
21019,q11,rsa,0,0,SD,success,,9.0,1.0,0.05,2.0,,,0.0,38.87367248535156,1.0,0.0029259999999999998,success,
21020,q11,rsa,0,0,SD,success,,9.0,1.0,0.05,2.0,,,0.0,33.32400321960449,1.0,0.0029259999999999998,success,
21021,q11,fedx,1,0,SD,success,,9.0,1.0,0.025,2.0,585.0,0.0,120.0,706.0,121.0,0.040794,success,121.0
21022,q11,fedx,1,0,SD,success,,9.0,1.0,0.025,2.0,599.0,0.0,120.0,720.0,121.0,0.040794,success,121.0
21023,q11,fedx,1,0,SD,success,,9.0,1.0,0.025,2.0,552.0,0.0,120.0,673.0,121.0,0.040794,success,121.0
21024,q11,costfed,1,0,SD,success,,9.0,1.0,0.025,1.0,325.0,325.0,200.0,335.0,201.0,0.09072799999999999,success,10.0
21025,q11,costfed,1,0,SD,success,,9.0,1.0,0.025,1.0,281.0,282.0,200.0,290.0,201.0,0.09072799999999999,success,9.0
21026,q11,costfed,1,0,SD,success,,9.0,1.0,0.025,1.0,306.0,308.0,200.0,315.0,201.0,0.09072799999999999,success,9.0
21027,q11,splendid,1,0,SD,error_runtime,120000.0,,1.0,0.025,2.0,,,0.0,,180.0,0.007917,error_runtime,
21028,q11,splendid,1,0,SD,error_runtime,120000.0,,1.0,0.025,2.0,,,0.0,,180.0,0.007917,error_runtime,
21029,q11,splendid,1,0,SD,error_runtime,120000.0,,1.0,0.025,2.0,,,0.0,,180.0,0.007917,error_runtime,
21030,q11,semagrow,1,0,SD,success,,9.0,1.0,0.025,2.0,678.0,32.0,120.0,778.0,121.0,0.042362,success,100.0
21031,q11,semagrow,1,0,SD,success,,9.0,1.0,0.025,2.0,693.0,36.0,120.0,789.0,121.0,0.042362,success,96.0
21032,q11,semagrow,1,0,SD,success,,9.0,1.0,0.025,2.0,780.0,35.0,120.0,882.0,121.0,0.042362,success,102.0
